t=2026-07-17T10:36:33+0500 lvl=info msg="no configuration paths supplied"
t=2026-07-17T10:36:33+0500 lvl=info msg="using configuration at default config path" path="C:\\Users\\Hassan Irfan\\AppData\\Local\\ngrok\\ngrok.yml"
t=2026-07-17T10:36:34+0500 lvl=info msg="open config file" path="C:\\Users\\Hassan Irfan\\AppData\\Local\\ngrok\\ngrok.yml" err=nil
t=2026-07-17T10:42:42+0500 lvl=info msg="join connections" obj=join id=91259ce294ef l=[::1]:3000 r=39.37.177.33:64644
t=2026-07-17T10:42:43+0500 lvl=info msg="join connections" obj=join id=883ccb721ebb l=[::1]:3000 r=39.37.177.33:64644
t=2026-07-17T10:42:43+0500 lvl=info msg="join connections" obj=join id=bc2978e05719 l=[::1]:3000 r=39.37.177.33:53856
t=2026-07-17T10:42:43+0500 lvl=info msg="join connections" obj=join id=20359735360a l=[::1]:3000 r=39.37.177.33:64644
t=2026-07-17T10:42:43+0500 lvl=info msg="join connections" obj=join id=cea1492354d1 l=[::1]:3000 r=39.37.177.33:64644
t=2026-07-17T10:42:43+0500 lvl=info msg="join connections" obj=join id=c8b7690d3bd5 l=[::1]:3000 r=39.37.177.33:64644
t=2026-07-17T10:42:50+0500 lvl=info msg="join connections" obj=join id=94f0c558774f l=[::1]:3000 r=39.37.177.33:64644
t=2026-07-17T10:42:50+0500 lvl=info msg="join connections" obj=join id=c2e00e35b0f1 l=[::1]:3000 r=39.37.177.33:64644
t=2026-07-17T10:42:50+0500 lvl=info msg="join connections" obj=join id=6f4ac901a092 l=[::1]:3000 r=39.37.177.33:53856
t=2026-07-17T10:42:53+0500 lvl=info msg="join connections" obj=join id=fe4fb9608628 l=[::1]:3000 r=39.37.177.33:64644
t=2026-07-17T10:42:53+0500 lvl=info msg="join connections" obj=join id=307633f589e8 l=[::1]:3000 r=39.37.177.33:64644
t=2026-07-17T10:42:57+0500 lvl=info msg="join connections" obj=join id=2a298d3fc900 l=[::1]:3000 r=39.37.177.33:64644
t=2026-07-17T10:42:57+0500 lvl=info msg="join connections" obj=join id=b612acec82a2 l=[::1]:3000 r=39.37.177.33:64644
t=2026-07-17T10:42:57+0500 lvl=info msg="join connections" obj=join id=922315ece6de l=[::1]:3000 r=39.37.177.33:64644
t=2026-07-17T10:42:57+0500 lvl=info msg="join connections" obj=join id=a0754377de6a l=[::1]:3000 r=39.37.177.33:64644
